,drug1,drug2,object,precipitant,severity
10561,http://bio2rdf.org/drugbank:DB00310,http://bio2rdf.org/drugbank:DB01373,Chlorthalidone,Calcium,2
10560,http://bio2rdf.org/drugbank:DB00180,http://bio2rdf.org/drugbank:DB04828,Flunisolide,Zomepirac,2
10559,http://bio2rdf.org/drugbank:DB00328,http://bio2rdf.org/drugbank:DB00881,Indomethacin,Quinapril,2
10558,http://bio2rdf.org/drugbank:DB00585,http://bio2rdf.org/drugbank:DB00530,Nizatidine,Erlotinib,2
10557,http://bio2rdf.org/drugbank:DB06724,http://bio2rdf.org/drugbank:DB00390,Calcium_carbonate,Digoxin,2
10556,http://bio2rdf.org/drugbank:DB00472,http://bio2rdf.org/drugbank:DB00404,Fluoxetine,Alprazolam,1
10555,http://bio2rdf.org/drugbank:DB01390,http://bio2rdf.org/drugbank:DB00233,Sodium_bicarbonate,Aminosalicylic_Acid,1
10554,http://bio2rdf.org/drugbank:DB08797,http://bio2rdf.org/drugbank:DB04828,Salicylamide,Zomepirac,1
10553,http://bio2rdf.org/drugbank:DB01172,http://bio2rdf.org/drugbank:DB00295,Kanamycin,Morphine, 
10552,http://bio2rdf.org/drugbank:DB06725,http://bio2rdf.org/drugbank:DB00373,Lornoxicam,Timolol,2
10551,http://bio2rdf.org/drugbank:DB00351,http://bio2rdf.org/drugbank:DB06725,Megestrol_acetate,Lornoxicam,1
10550,http://bio2rdf.org/drugbank:DB01373,http://bio2rdf.org/drugbank:DB08807,Calcium,Bopindolol,1
10549,http://bio2rdf.org/drugbank:DB00945,http://bio2rdf.org/drugbank:DB01606,Acetylsalicylic_acid,Tazobactam,1
10548,http://bio2rdf.org/drugbank:DB00564,http://bio2rdf.org/drugbank:DB00588,Carbamazepine,Fluticasone_Propionate,1
10547,http://bio2rdf.org/drugbank:DB01082,http://bio2rdf.org/drugbank:DB01337,Streptomycin,Pancuronium,2
10546,http://bio2rdf.org/drugbank:DB00367,http://bio2rdf.org/drugbank:DB01345,Levonorgestrel,Potassium,1
10545,http://bio2rdf.org/drugbank:DB00948,http://bio2rdf.org/drugbank:DB00479,Mezlocillin,Amikacin,2
10544,http://bio2rdf.org/drugbank:DB00661,http://bio2rdf.org/drugbank:DB01136,Verapamil,Carvedilol,2
10543,http://bio2rdf.org/drugbank:DB00604,http://bio2rdf.org/drugbank:DB00199,Cisapride,Erythromycin,3
10542,http://bio2rdf.org/drugbank:DB01432,http://bio2rdf.org/drugbank:DB01324,Cholestyramine,Polythiazide,1
10541,http://bio2rdf.org/drugbank:DB08807,http://bio2rdf.org/drugbank:DB00281,Bopindolol,Lidocaine,2
10540,http://bio2rdf.org/drugbank:DB01164,http://bio2rdf.org/drugbank:DB00335,Calcium_Chloride,Atenolol,1
10539,http://bio2rdf.org/drugbank:DB00582,http://bio2rdf.org/drugbank:DB00897,Voriconazole,Triazolam,2
10538,http://bio2rdf.org/drugbank:DB00373,http://bio2rdf.org/drugbank:DB00606,Timolol,Cyclothiazide,1
10537,http://bio2rdf.org/drugbank:DB00936,http://bio2rdf.org/drugbank:DB00712,Salicyclic_acid,Flurbiprofen,1
10536,http://bio2rdf.org/drugbank:DB01168,http://bio2rdf.org/drugbank:DB00476,Procarbazine,Duloxetine,3
10535,http://bio2rdf.org/drugbank:DB01136,http://bio2rdf.org/drugbank:DB00227,Carvedilol,Lovastatin,1
10534,http://bio2rdf.org/drugbank:DB00908,http://bio2rdf.org/drugbank:DB00594,Quinidine,Amiloride,2
10533,http://bio2rdf.org/drugbank:DB00454,http://bio2rdf.org/drugbank:DB00363,Pethidine,CLOZAPINE,2
10532,http://bio2rdf.org/drugbank:DB00820,http://bio2rdf.org/drugbank:DB00701,Tadalafil,Amprenavir,2
10531,http://bio2rdf.org/drugbank:DB00860,http://bio2rdf.org/drugbank:DB00963,Prednisolone,Bromfenac,2
10530,http://bio2rdf.org/drugbank:DB01115,http://bio2rdf.org/drugbank:DB08439,Nifedipine,parecoxib, 
10529,http://bio2rdf.org/drugbank:DB00945,http://bio2rdf.org/drugbank:DB00586,Acetylsalicylic_acid,Diclofenac,1
10528,http://bio2rdf.org/drugbank:DB00252,http://bio2rdf.org/drugbank:DB01211,Phenytoin,Clarithromycin,2
10527,http://bio2rdf.org/drugbank:DB01118,http://bio2rdf.org/drugbank:DB00604,AMIODARONE,Cisapride,3
10526,http://bio2rdf.org/drugbank:DB01234,http://bio2rdf.org/drugbank:DB06725,Dexamethasone,Lornoxicam,2
10525,http://bio2rdf.org/drugbank:DB00501,http://bio2rdf.org/drugbank:DB01399,Cimetidine,Salsalate,1
10524,http://bio2rdf.org/drugbank:DB01364,http://bio2rdf.org/drugbank:DB00780,Ephedrine,Phenelzine,3
10523,http://bio2rdf.org/drugbank:DB00945,http://bio2rdf.org/drugbank:DB00465,Acetylsalicylic_acid,Ketorolac,1
10522,http://bio2rdf.org/drugbank:DB01359,http://bio2rdf.org/drugbank:DB00863,Penbutolol,Ranitidine, 
10521,http://bio2rdf.org/drugbank:DB00717,http://bio2rdf.org/drugbank:DB00335,Norethindrone,Atenolol,1
10520,http://bio2rdf.org/drugbank:DB00421,http://bio2rdf.org/drugbank:DB00584,Spironolactone,Enalapril,2
10519,http://bio2rdf.org/drugbank:DB00485,http://bio2rdf.org/drugbank:DB08808,Dicloxacillin,Bupranolol,1
10518,http://bio2rdf.org/drugbank:DB00554,http://bio2rdf.org/drugbank:DB00571,Piroxicam,Propranolol,2
10517,http://bio2rdf.org/drugbank:DB00436,http://bio2rdf.org/drugbank:DB00258,Bendroflumethiazide,Calcium_Acetate,2
10516,http://bio2rdf.org/drugbank:DB00500,http://bio2rdf.org/drugbank:DB00214,Tolmetin,Torasemide,2
10515,http://bio2rdf.org/drugbank:DB01356,http://bio2rdf.org/drugbank:DB00861,Lithium,Diflunisal, 
10514,http://bio2rdf.org/drugbank:DB00823,http://bio2rdf.org/drugbank:DB00400,Ethynodiol,GRISEOFULVIN,3
